brand,perfume,type,category,target_audience,longevity
Dumont,Nitro red,EDP,Fresh Scent,Male,Strong
Dumont,Nitro pour homme,EDP,Fresh Scent,Male,Strong
Dumont,Nitro white,EDP,Fresh Scent,Unisex,Strong
Dumont,Nitro blue,EDP,Fresh Scent,Unisex,Strong
Dumont,Nitro green,EDP,Fresh Scent,Unisex,Strong
Dumont,Nitro platinum,EDP,Mass Pleaser,Male,Strong
Dumont,Nitro intense,EDP,Woody Spicy,Male,Strong
Dumont,Nitro black,EDP,Woody Spicy,Male,Strong
Dumont,Celerio oros,EDP,Oriental Vanilla,Unisex,Medium
Dumont,Celerio epic,EDP,Woody Aromatic,Male,Medium
Armaf,Club de nuit intense man,EDT,Woody Spicy,Male,Strong
Armaf,Cdnim pure parfum,Parfum,Woody Spicy,Male,Strong
Armaf,Cdnim edp,EDP,Woody Spicy,Male,Strong
Armaf,Cdnim limited edition,EDP,Woody Spicy,Male,Strong
Armaf,Cdn women,EDP,Floral Fruity,Female,Medium
Armaf,Lionheart man,EDT,Woody Aromatic,Male,Medium
Armaf,Yum yum,EDP,Fruity Floral,Female,Medium
Armaf,Sillage,EDP,Woody Spicy,Male,Medium
Armaf,Imperial,EDP,Woody Spicy,Male,Medium
Armaf,Untold,EDP,Woody Aromatic,Male,Medium
Armaf,Hunter,EDT,Woody Spicy,Male,Medium
Armaf,Hunter intense,EDP,Woody Spicy,Male,Strong
Armaf,Ventana marine,EDP,Fresh Scent,Male,Medium
Armaf,Ventana,EDT,Fresh Scent,Male,Medium
Armaf,Urban man elixr,EDP,Woody Spicy,Male,Medium
Armaf,Milestone,EDP,Woody Spicy,Male,Medium
Armaf,Aura fresh,EDP,Fresh Scent,Male,Medium
Armaf,Precioux 1,EDP,Woody Spicy,Male,Medium
Armaf,Legesi,EDP,Woody Aromatic,Male,Medium
Armaf,Blue homme,EDT,Fresh Scent,Male,Medium
Armaf,Odyssey homme,EDP,Woody Spicy,Male,Medium
Armaf,Odyssey homme white edition,EDP,Woody Spicy,Male,Medium
Armaf,Odyssey homme gold edition,EDP,Woody Spicy,Male,Medium
Armaf,Odyssey homme red,EDP,Woody Spicy,Male,Medium
Armaf,Odyssey homme blue,EDP,Woody Spicy,Male,Medium
Armaf,Odyssey homme black,EDP,Woody Spicy,Male,Medium
Armaf,Odyssey femme,EDP,Floral Fruity,Female,Medium
Armaf,Tag him,EDT,Woody Spicy,Male,Medium
Armaf,Tag him prestige edition,EDT,Woody Spicy,Male,Medium
Armaf,Tag him pour homme,EDT,Woody Spicy,Male,Medium
Armaf,Tag her,EDP,Floral Fruity,Female,Medium
Armaf,Derby club house blanche,EDT,Fresh Scent,Unisex,Medium
Armaf,Derby club house gold,EDT,Woody Spicy,Male,Medium
Armaf,Derby club house ascot,EDT,Woody Spicy,Male,Medium
Armaf,Derby club house adventure,EDT,Woody Aromatic,Male,Medium
Armaf,Derby club house victory,EDT,Woody Aromatic,Male,Medium
Armaf,Derby club house blue,EDT,Fresh Scent,Unisex,Medium
Armaf,All you need is passion,EDP,Woody Spicy,Male,Medium
Armaf,The pride of armaf for men,EDP,Woody Spicy,Male,Medium
Armaf,The pride of armaf for women,EDP,Floral Fruity,Female,Medium
Armaf,The warrior,EDT,Woody Spicy,Male,Medium
Armaf,The hunter,EDT,Woody Spicy,Male,Medium
Armaf,The hunter intense,EDP,Woody Spicy,Male,Strong
Armaf,The hunter black,EDP,Woody Spicy,Male,Strong
Armaf,The hunter jungle,EDP,Woody Spicy,Male,Medium
Armaf,The legacy,EDP,Woody Aromatic,Male,Medium
Armaf,The signature for women,EDP,Floral Fruity,Female,Medium
Armaf,The signature for men,EDP,Woody Spicy,Male,Medium
Armaf,Club de nuit intense man limited edition parfum,Parfum,Woody Spicy,Male,Strong
Armaf,Club de nuit intense women limited edition,Parfum,Floral Fruity,Female,Strong
Armaf,Club de nuit milestones,EDP,Woody Spicy,Male,Medium
Armaf,Club de nuit sillage,EDP,Woody Spicy,Male,Medium
Armaf,Club de nuit imperiale,EDP,Woody Spicy,Male,Medium
Armaf,Club de nuit urban man,EDP,Woody Spicy,Male,Medium
Armaf,Club de nuit urban woman,EDP,Floral Fruity,Female,Medium
Armaf,Club de nuit untold,Parfum,Woody Spicy,Male,Strong
Armaf,Club de nuit timeless,Parfum,Woody Spicy,Male,Strong
Armaf,Club de nuit iconic,EDP,Woody Spicy,Male,Medium
Armaf,Ventana pour homme,EDP,Fresh Scent,Male,Medium
Armaf,Ventana pour femme,EDP,Floral Fruity,Female,Medium
Armaf,Ventana noir,EDP,Woody Spicy,Male,Medium
Armaf,Ventana azure,EDP,Fresh Scent,Male,Medium
Armaf,Opus homme,EDP,Woody Spicy,Male,Medium
Armaf,Opus femme,EDP,Floral Fruity,Female,Medium
Armaf,Opus noir,EDP,Woody Spicy,Male,Medium
Armaf,Opus blue,EDP,Fresh Scent,Male,Medium
Armaf,Opus rouge,EDP,Woody Spicy,Male,Medium
Armaf,Opus gold,EDP,Woody Spicy,Male,Medium
Armaf,Magnificent pour homme,EDP,Woody Spicy,Male,Medium
Armaf,Magnificent pour femme,EDP,Floral Fruity,Female,Medium
Fragrance world,Spectre ghost,EDP,Woody Aromatic,Male,Medium
Fragrance world,Spectre wraith,EDP,Woody Spicy,Male,Strong
Fragrance world,Pinnace white,EDP,Fresh Scent,Unisex,Medium
Fragrance world,Essence de blanc,EDP,Floral Fruity,Female,Medium
Fragrance world,Vulcan feu french avenue,EDP,Woody Spicy,Male,Strong
Fragrance world,Urban man elixir,EDP,Woody Spicy,Male,Medium
Fragrance world,Nuke 2.0,EDP,Woody Aromatic,Male,Medium
Fragrance world,Suits,EDP,Woody Aromatic,Male,Medium
Fragrance world,Sultry woods,EDP,Woody Spicy,Male,Strong
Fragrance world,Fierte,EDP,Woody Aromatic,Male,Medium
Fragrance world,Green saphire,EDP,Fresh Scent,Unisex,Medium
Fragrance world,Eau de spice,EDP,Spicy Aromatic,Male,Medium
Fragrance world,Imperial fragrance world,EDP,Woody Spicy,Male,Strong
Fragrance world,Divin asylum,EDP,Woody Aromatic,Male,Medium
Fragrance world,Divin oud,EDP,Oud,Unisex,Strong
Fragrance world,Francique 63.55,EDP,Woody Aromatic,Male,Medium
Fragrance world,My soulmate body,EDP,Floral Fruity,Female,Medium
Fragrance world,Mirag absolu,EDP,Woody Spicy,Male,Strong
Fragrance world,Tropical kiss,EDP,Fruity Floral,Female,Medium
Fragrance world,Aqua pura,EDP,Fresh Scent,Unisex,Medium
Fragrance world,Arabian incense,EDP,Oriental Woody,Unisex,Strong
Fragrance world,Hibiscus magic,EDP,Floral Fruity,Female,Medium
Fragrance world,Brown sugar,EDP,Gourmand,Unisex,Medium
Fragrance world,Aqua royale blue,EDP,Fresh Scent,Male,Medium
Fragrance world,Enigma une,EDP,Woody Aromatic,Male,Medium
Fragrance world,Enigma trois,EDP,Woody Aromatic,Male,Medium
Fragrance world,Imperium edp,EDP,Woody Spicy,Male,Strong
Fragrance world,Bavaria pour homme,EDP,Woody Aromatic,Male,Medium
Fragrance world,Aventos green,EDP,Fresh Scent,Male,Medium
Fragrance world,Absolute oud magnificent 7,EDP,Oud,Unisex,Strong
Fragrance world,F le parfum,Parfum,Floral Fruity,Female,Strong
Fragrance world,Giorgio black special edition,EDP,Woody Spicy,Male,Medium
Fragrance world,Harmony code absolute,EDP,Woody Aromatic,Male,Medium
Fragrance world,Barakkat rouge 540,EDP,Oud,Unisex,Strong
Fragrance world,Barakkat aqua stellar,EDP,Fresh Scent,Unisex,Medium
Fragrance world,Mocha wood,EDP,Gourmand,Unisex,Medium
Fragrance world,Star men nebula,EDP,Woody Aromatic,Male,Medium
Fragrance world,La uno forever,EDP,Floral Fruity,Female,Medium
Fragrance world,Royal blend nero,EDP,Woody Spicy,Male,Medium
Fragrance world,Royal blend,EDP,Woody Spicy,Male,Medium
Fragrance world,Sweet paradise,EDP,Fruity Floral,Female,Medium
Fragrance world,Cocktail intense,EDP,Woody Spicy,Male,Medium
Rasasi,Shaghaf (nafaies al shaghaf),EDP,Sweet Spicy Oriental,Unisex,Strong
Rasasi,Shuhrah,EDP,Woody Spicy,Unisex,Strong
Rasasi,Sotoor seen,EDP,Fresh Spicy,Unisex,Medium
Rasasi,Sotoor taa,EDP,Fresh Aromatic,Unisex,Medium
Rasasi,Sotoor waaw,EDP,Fresh Woody,Unisex,Medium
Rasasi,Hawas tropical,EDP,Fruity Fresh,Male,Medium
Riffs,Deoro patchouli,EDP,Earthy Woody,Unisex,Strong
Riffs,Elegant homme,EDP,Fresh Woody,Male,Medium
Riffs,Goodness oud,EDP,Rich Oud,Unisex,Strong
Riffs,Imperial blue,EDP,Fresh Aromatic,Male,Medium
Riffs,Majestic rose,EDP,Floral Rose,Female,Strong
Riffs,Wonder of you,EDP,Sweet Floral,Unisex,Medium
Ibraheem al qurashi,Blue oud,EDP,Oud Floral,Unisex,Strong
Ibraheem al qurashi,Golden amber,EDP,Amber Oriental,Unisex,Strong
Nusuk,Al mukhtalif signature,EDP,Oriental Woody,Unisex,Medium
Nusuk,Ana al awwal,EDP,Fresh Spicy,Unisex,Medium
My perfumes,Oud al layl,EDP,Oud Deep,Unisex,Strong
Nusuk,Naseem aqua,EDP,Fresh Aquatic,Unisex,Medium
Zimaya,Sharaf blend,EDP,Woody Floral,Unisex,Medium
Zimaya,Sharaf club black,EDP,Oud Oriental,Unisex,Strong
Ard al zaafaran,Al dirgham gold limited edition,EDP,Amber Spicy,Unisex,Strong
Ard al zaafaran,Al dirgham silver special edition,EDP,Fresh Spicy,Unisex,Medium
Al haramain,Amber oud aqua dubai,EDP,Fresh Amber,Male,Medium
Al haramain,Detour noir,EDP,Woody Spicy,Male,Strong
Al haramain,Detour noir intense,EDP,Woody Spicy,Male,Strong
Al haramain,Detour eco,EDP,Fresh Fougere,Male,Medium
Al haramain,Detour rouge,EDP,Woody Spicy,Male,Strong
Dirham,Dirham oud,EDP,Oud Woody,Unisex,Strong
Dirham,Dirham wardi,EDP,Rose Oud,Unisex,Strong
Dirham,Dirham silver,EDP,Fresh Aromatic,Male,Medium
Dirham,Dirham gold,EDP,Woody Spicy,Male,Strong
Sheikh zayed,Sheikh zayed blue,EDP,Fresh Aquatic,Male,Medium
Al wataniah,Kayaan classic,EDP,Woody Spicy,Male,Medium
Insurrection,Insurrection wild ii,EDP,Woody Spicy,Male,Strong
Rue broca,Theoreme martix,EDP,Oriental Spicy,Unisex,Strong
Rue broca,Theoreme,EDP,Oriental Spicy,Unisex,Medium
Khadlj,Island,EDP,Fresh Green,Unisex,Medium
Khadlj,Island vanilla dunes,EDP,Fruity Vanilla,Unisex,Medium
Khadlj,Karus blue spice,EDP,Fresh Spicy,Unisex,Medium
Khadlj,Cloud candy,EDP,Sweet Gourmand,Unisex,Medium
Khadlj,Shiyaaka gold,EDP,Woody Spicy,Male,Strong
Khadlj,Shiyaaka silver,EDP,Woody Aromatic,Male,Medium
Khadlj,Shiyaaka blue,EDP,Fresh Woody,Male,Medium
Hamidi,Addicted imperial,EDP,Woody Spicy,Male,Strong
Hamidi,Addicted silver,EDP,Woody Aromatic,Male,Medium
Hamidi,Addicted intense,EDP,Woody Spicy,Male,Strong
Ajmal,Kuro,EDP,Fresh Aquatic,Male,Medium
Ajmal,Blue,EDP,Fresh Aromatic,Male,Medium
Ajmal,Shiro,EDP,Oriental Spicy,Unisex,Medium
Ajmal,Rain drops,EDP,Fresh Aquatic,Unisex,Medium
Ajmal,Wisal dahab,EDP,Floral Oriental,Female,Medium
Rayhaan,Elixr,EDP,Woody Spicy,Unisex,Strong
Rayhaan,Crimson,EDP,Spicy Floral,Female,Medium
