Transaction ID,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Year,Month,Day
1,CUST001,Male,34,Beauty,3,50,150,2023,November,Friday
2,CUST002,Female,26,Clothing,2,500,1000,2023,February,Monday
3,CUST003,Male,50,Electronics,1,30,30,2023,January,Friday
4,CUST004,Male,37,Clothing,1,500,500,2023,May,Sunday
5,CUST005,Male,30,Beauty,2,50,100,2023,May,Saturday
6,CUST006,Female,45,Beauty,1,30,30,2023,April,Tuesday
7,CUST007,Male,46,Clothing,2,25,50,2023,March,Monday
8,CUST008,Male,30,Electronics,4,25,100,2023,February,Wednesday
9,CUST009,Male,63,Electronics,2,300,600,2023,December,Wednesday
10,CUST010,Female,52,Clothing,4,50,200,2023,October,Saturday
11,CUST011,Male,23,Clothing,2,50,100,2023,February,Tuesday
12,CUST012,Male,35,Beauty,3,25,75,2023,October,Monday
13,CUST013,Male,22,Electronics,3,500,1500,2023,August,Saturday
14,CUST014,Male,64,Clothing,4,30,120,2023,January,Tuesday
15,CUST015,Female,42,Electronics,4,500,2000,2023,January,Monday
16,CUST016,Male,19,Clothing,3,500,1500,2023,February,Friday
17,CUST017,Female,27,Clothing,4,25,100,2023,April,Saturday
18,CUST018,Female,47,Electronics,2,25,50,2023,April,Sunday
19,CUST019,Female,62,Clothing,2,25,50,2023,September,Saturday
20,CUST020,Male,22,Clothing,3,300,900,2023,November,Sunday
21,CUST021,Female,50,Beauty,1,500,500,2023,January,Saturday
22,CUST022,Male,18,Clothing,2,50,100,2023,October,Sunday
23,CUST023,Female,35,Clothing,4,30,120,2023,April,Wednesday
24,CUST024,Female,49,Clothing,1,300,300,2023,November,Wednesday
25,CUST025,Female,64,Beauty,1,50,50,2023,December,Tuesday
26,CUST026,Female,28,Electronics,2,500,1000,2023,October,Saturday
27,CUST027,Female,38,Beauty,2,25,50,2023,August,Thursday
28,CUST028,Female,43,Beauty,1,500,500,2023,April,Sunday
29,CUST029,Female,42,Electronics,1,30,30,2023,August,Friday
30,CUST030,Female,39,Beauty,3,300,900,2023,October,Sunday
31,CUST031,Male,44,Electronics,4,300,1200,2023,May,Tuesday
32,CUST032,Male,30,Beauty,3,30,90,2023,January,Wednesday
33,CUST033,Female,50,Electronics,2,50,100,2023,March,Thursday
34,CUST034,Female,51,Clothing,3,50,150,2023,December,Sunday
35,CUST035,Female,58,Beauty,3,300,900,2023,August,Saturday
36,CUST036,Male,52,Beauty,3,300,900,2023,June,Saturday
37,CUST037,Female,18,Beauty,3,25,75,2023,May,Tuesday
38,CUST038,Male,38,Beauty,4,50,200,2023,March,Tuesday
39,CUST039,Male,23,Clothing,4,30,120,2023,April,Friday
40,CUST040,Male,45,Beauty,1,50,50,2023,June,Thursday
41,CUST041,Male,34,Clothing,2,25,50,2023,February,Wednesday
42,CUST042,Male,22,Clothing,3,300,900,2023,February,Friday
43,CUST043,Female,48,Clothing,1,300,300,2023,July,Friday
44,CUST044,Female,22,Clothing,1,25,25,2023,February,Sunday
45,CUST045,Female,55,Electronics,1,30,30,2023,July,Monday
46,CUST046,Female,20,Electronics,4,300,1200,2023,June,Monday
47,CUST047,Female,40,Beauty,3,500,1500,2023,November,Monday
48,CUST048,Male,54,Electronics,3,300,900,2023,May,Tuesday
49,CUST049,Female,54,Electronics,2,500,1000,2023,January,Monday
50,CUST050,Female,27,Beauty,3,25,75,2023,August,Thursday
51,CUST051,Male,27,Beauty,3,25,75,2023,October,Monday
52,CUST052,Female,36,Beauty,1,300,300,2023,March,Sunday
53,CUST053,Male,34,Electronics,2,50,100,2023,July,Thursday
54,CUST054,Female,38,Electronics,3,500,1500,2023,February,Friday
55,CUST055,Male,31,Beauty,4,30,120,2023,October,Tuesday
56,CUST056,Female,26,Clothing,3,300,900,2023,May,Wednesday
57,CUST057,Female,63,Beauty,1,30,30,2023,November,Saturday
58,CUST058,Male,18,Clothing,4,300,1200,2023,November,Monday
59,CUST059,Male,62,Clothing,1,50,50,2023,July,Wednesday
60,CUST060,Male,30,Beauty,3,50,150,2023,October,Monday
61,CUST061,Male,21,Beauty,4,50,200,2023,April,Sunday
62,CUST062,Male,18,Beauty,2,50,100,2023,December,Wednesday
63,CUST063,Male,57,Electronics,2,25,50,2023,February,Sunday
64,CUST064,Male,49,Clothing,4,25,100,2023,January,Tuesday
65,CUST065,Male,51,Electronics,4,500,2000,2023,December,Tuesday
66,CUST066,Female,45,Electronics,1,30,30,2023,April,Thursday
67,CUST067,Female,48,Beauty,4,300,1200,2023,May,Monday
68,CUST068,Male,25,Electronics,1,300,300,2023,February,Friday
69,CUST069,Female,56,Beauty,3,25,75,2023,April,Sunday
70,CUST070,Female,43,Clothing,1,300,300,2023,February,Tuesday
71,CUST071,Female,51,Beauty,4,25,100,2023,July,Friday
72,CUST072,Female,20,Electronics,4,500,2000,2023,May,Tuesday
73,CUST073,Male,29,Electronics,3,30,90,2023,August,Monday
74,CUST074,Female,18,Beauty,4,500,2000,2023,November,Wednesday
75,CUST075,Male,61,Beauty,4,50,200,2023,July,Thursday
76,CUST076,Female,22,Electronics,2,50,100,2023,March,Saturday
77,CUST077,Female,47,Clothing,2,50,100,2023,July,Sunday
78,CUST078,Female,47,Clothing,3,500,1500,2023,July,Saturday
79,CUST079,Male,34,Beauty,1,300,300,2023,April,Tuesday
80,CUST080,Female,64,Clothing,2,30,60,2023,December,Sunday
81,CUST081,Male,40,Electronics,1,50,50,2023,May,Wednesday
82,CUST082,Female,32,Beauty,4,50,200,2023,December,Tuesday
83,CUST083,Male,54,Electronics,2,50,100,2023,December,Saturday
84,CUST084,Female,38,Electronics,3,30,90,2023,November,Tuesday
85,CUST085,Male,31,Clothing,3,50,150,2023,February,Monday
86,CUST086,Male,19,Beauty,3,30,90,2023,November,Wednesday
87,CUST087,Female,28,Beauty,2,50,100,2023,November,Wednesday
88,CUST088,Male,56,Clothing,1,500,500,2023,March,Wednesday
89,CUST089,Female,55,Electronics,4,500,2000,2023,October,Sunday
90,CUST090,Female,51,Electronics,1,30,30,2023,May,Saturday
91,CUST091,Female,55,Electronics,1,500,500,2023,March,Saturday
92,CUST092,Female,51,Electronics,4,30,120,2023,August,Friday
93,CUST093,Female,35,Beauty,4,500,2000,2023,July,Friday
94,CUST094,Female,47,Beauty,2,500,1000,2023,May,Friday
95,CUST095,Female,32,Clothing,2,30,60,2023,November,Friday
96,CUST096,Female,44,Clothing,2,300,600,2023,December,Tuesday
97,CUST097,Female,51,Beauty,2,500,1000,2023,October,Friday
98,CUST098,Female,55,Beauty,2,50,100,2023,April,Sunday
99,CUST099,Female,50,Electronics,4,300,1200,2023,December,Sunday
100,CUST100,Male,41,Electronics,1,30,30,2023,June,Friday
101,CUST101,Male,32,Clothing,2,300,600,2023,January,Sunday
102,CUST102,Female,47,Beauty,2,25,50,2023,April,Friday
103,CUST103,Female,59,Clothing,1,25,25,2023,January,Tuesday
104,CUST104,Female,34,Beauty,2,500,1000,2023,June,Sunday
105,CUST105,Female,22,Electronics,1,500,500,2023,July,Tuesday
106,CUST106,Female,46,Clothing,1,50,50,2023,May,Thursday
107,CUST107,Female,21,Clothing,4,300,1200,2023,February,Friday
108,CUST108,Female,27,Beauty,3,25,75,2023,April,Wednesday
109,CUST109,Female,34,Electronics,4,500,2000,2023,October,Wednesday
110,CUST110,Male,27,Clothing,3,300,900,2023,June,Sunday
111,CUST111,Female,34,Electronics,3,500,1500,2023,April,Wednesday
112,CUST112,Male,37,Clothing,3,500,1500,2023,December,Saturday
113,CUST113,Female,41,Electronics,2,25,50,2023,September,Wednesday
114,CUST114,Female,22,Beauty,4,25,100,2023,July,Saturday
115,CUST115,Male,51,Clothing,3,500,1500,2023,November,Sunday
116,CUST116,Female,23,Clothing,1,30,30,2023,August,Wednesday
117,CUST117,Male,19,Electronics,2,500,1000,2023,March,Wednesday
118,CUST118,Female,30,Electronics,4,500,2000,2023,May,Tuesday
119,CUST119,Female,60,Clothing,3,50,150,2023,March,Monday
120,CUST120,Male,60,Beauty,1,50,50,2023,May,Sunday
121,CUST121,Female,28,Electronics,4,50,200,2023,October,Sunday
122,CUST122,Male,64,Electronics,4,30,120,2023,October,Tuesday
123,CUST123,Female,40,Electronics,2,30,60,2023,May,Monday
124,CUST124,Male,33,Clothing,4,500,2000,2023,October,Friday
125,CUST125,Male,48,Clothing,2,50,100,2023,August,Tuesday
126,CUST126,Female,28,Clothing,3,30,90,2023,October,Thursday
127,CUST127,Female,33,Clothing,2,25,50,2023,July,Monday
128,CUST128,Male,25,Beauty,1,500,500,2023,July,Wednesday
129,CUST129,Female,21,Beauty,2,300,600,2023,April,Sunday
130,CUST130,Female,57,Clothing,1,500,500,2023,March,Sunday
