,StudentID,Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA,GradeClass,Grade_Class
0,1001,17,Female,Caucasian,Some College,19.8,7,Yes,Moderate,No,No,Yes,No,2.9,2.0,D
1,1002,18,Male,Caucasian,High School,15.4,0,No,Low,No,No,No,No,3.0,1.0,F
2,1003,15,Male,Asian,Bachelor's,4.2,26,No,Moderate,No,No,No,No,0.1,4.0,A
3,1004,17,Female,Caucasian,Bachelor's,10.0,14,No,High,Yes,No,No,No,2.1,3.0,B
4,1005,17,Female,Caucasian,Some College,4.7,17,Yes,High,No,No,No,No,1.3,4.0,A
5,1006,18,Male,Caucasian,High School,8.2,0,No,Low,Yes,No,No,No,3.1,1.0,F
6,1007,15,Male,African American,High School,15.6,10,No,High,No,Yes,No,No,2.7,2.0,D
7,1008,15,Female,African American,Higher,15.4,22,Yes,Low,Yes,No,No,No,1.4,4.0,A
8,1009,17,Male,Caucasian,None,4.6,1,No,Moderate,No,Yes,No,Yes,2.9,2.0,D
9,1010,16,Female,Caucasian,High School,18.4,0,No,High,Yes,No,No,No,3.6,0.0,F
10,1011,17,Male,Caucasian,High School,11.9,11,No,Low,No,No,No,No,2.1,3.0,B
11,1012,17,Male,Caucasian,High School,7.6,15,No,Moderate,No,No,No,Yes,1.6,4.0,A
12,1013,17,Male,African American,High School,10.0,21,No,High,Yes,No,No,No,1.5,4.0,A
13,1014,17,Male,African American,Some College,12.1,21,No,Very High,No,Yes,No,No,1.8,4.0,A
14,1015,18,Female,Caucasian,High School,11.2,9,Yes,Moderate,No,No,No,No,2.4,3.0,B
15,1016,15,Male,Caucasian,Some College,9.7,17,Yes,None,No,Yes,No,No,1.3,4.0,A
16,1017,18,Male,Other,High School,10.1,14,No,Moderate,Yes,Yes,No,No,2.2,3.0,B
17,1018,18,Female,Caucasian,None,3.5,16,Yes,Moderate,No,No,No,No,1.4,4.0,A
18,1019,18,Male,African American,Bachelor's,16.3,29,No,Moderate,Yes,No,No,Yes,0.5,4.0,A
19,1020,17,Male,Caucasian,High School,10.8,9,No,Moderate,No,No,Yes,No,2.4,3.0,B
20,1021,16,Female,Caucasian,Bachelor's,2.6,2,No,High,No,No,No,Yes,2.8,2.0,D
21,1022,15,Male,Caucasian,Some College,15.3,25,No,Low,Yes,No,No,No,0.3,4.0,A
22,1023,16,Female,African American,None,18.6,29,Yes,Low,No,No,No,No,0.3,4.0,A
23,1024,18,Female,Other,Higher,18.9,20,No,Moderate,Yes,No,No,No,1.8,4.0,A
24,1025,18,Female,Caucasian,High School,7.4,15,No,Moderate,No,No,No,No,1.5,4.0,A
25,1026,16,Female,Caucasian,Bachelor's,2.7,5,No,Very High,No,No,Yes,No,3.0,2.0,D
26,1027,16,Male,Caucasian,High School,10.4,2,No,Moderate,No,Yes,No,No,2.9,2.0,D
27,1028,16,Female,Caucasian,Bachelor's,2.3,8,No,High,No,No,Yes,No,2.1,3.0,B
28,1029,18,Male,Caucasian,None,18.7,10,No,High,Yes,No,No,No,2.9,2.0,D
29,1030,18,Male,Caucasian,Some College,3.7,20,No,High,Yes,No,No,No,1.5,4.0,A
30,1031,15,Male,Asian,Some College,5.1,12,Yes,None,No,Yes,No,No,1.7,4.0,A
